Scopus_ID,abstract,author,pubDate,title
SCOPUS_ID:85038106127,"Time-series modeling of PV output for solar panels can help solar panel owners understand the power systems’ time-varying behavior and be prepared for the load demand. The time-series forecast/prediction can become challenging due to many missing observations or a lack of historical records that are not sufficient to establish statistical models. Increasing PV measurement frequency over a longer period increases the cost in the detection of the PV fluctuation. This paper proposes an efficient approach to iterative multi-task learning for time series (MTL-GP-TS) that improves prediction of the PV output without increasing measurement efforts by sharing the information among PV data from multiple similar solar panels. The proposed iterative MTL-GP-TS model learns/imputes unobserved or missing values in a dataset of time series associated with the solar panel of interest to predict the PV trend. Additionally, the method improves and generalizes the traditional multi-task learning for Gaussian Process to the learning of both global trend and local irregular components in time series. A real-world case study demonstrated that the proposed method could result in substantial improvement of predictions over conventional approaches. The paper also discusses the selection of parameters and data sources when implementing the proposed algorithm.",Shireen T.,2018-02-15,Iterative multi-task learning for time-series modeling of solar panel PV outputs
SCOPUS_ID:85037134079,"Background and objective
                  The Accident and Emergency Department (A&ED) is the frontline for providing emergency care in hospitals. Unfortunately, relative A&ED resources have failed to keep up with continuously increasing demand in recent years, which leads to overcrowding in A&ED. Knowing the fluctuation of patient arrival volume in advance is a significant premise to relieve this pressure. Based on this motivation, the objective of this study is to explore an integrated framework with high accuracy for predicting A&ED patient flow under different triage levels, by combining a novel feature selection process with deep neural networks.
               
               
                  Methods
                  Administrative data is collected from an actual A&ED and categorized into five groups based on different triage levels. A genetic algorithm (GA)-based feature selection algorithm is improved and implemented as a pre-processing step for this time-series prediction problem, in order to explore key features affecting patient flow. In our improved GA, a fitness-based crossover is proposed to maintain the joint information of multiple features during iterative process, instead of traditional point-based crossover. Deep neural networks (DNN) is employed as the prediction model to utilize their universal adaptability and high flexibility. In the model-training process, the learning algorithm is well-configured based on a parallel stochastic gradient descent algorithm. Two effective regularization strategies are integrated in one DNN framework to avoid overfitting. All introduced hyper-parameters are optimized efficiently by grid-search in one pass.
               
               
                  Results
                  As for feature selection, our improved GA-based feature selection algorithm has outperformed a typical GA and four state-of-the-art feature selection algorithms (mRMR, SAFS, VIFR, and CFR). As for the prediction accuracy of proposed integrated framework, compared with other frequently used statistical models (GLM, seasonal-ARIMA, ARIMAX, and ANN) and modern machine models (SVM-RBF, SVM-linear, RF, and R-LASSO), the proposed integrated “DNN-I-GA” framework achieves higher prediction accuracy on both MAPE and RMSE metrics in pairwise comparisons.
               
               
                  Conclusions
                  The contribution of our study is two-fold. Theoretically, the traditional GA-based feature selection process is improved to have less hyper-parameters and higher efficiency, and the joint information of multiple features is maintained by fitness-based crossover operator. The universal property of DNN is further enhanced by merging different regularization strategies. Practically, features selected by our improved GA can be used to acquire an underlying relationship between patient flows and input features. Predictive values are significant indicators of patients' demand and can be used by A&ED managers to make resource planning and allocation. High accuracy achieved by the present framework in different cases enhances the reliability of downstream decision makings.",Jiang S.,2018-02-01,A universal deep learning approach for modeling the flow of patients under different severities
SCOPUS_ID:85030096149,"This paper describes how Machine Learning and Robust Optimization techniques can greatly improve cash logistics operations. Specifically, we seek to optimize the logistics followed by the different branches of a given bank. Machine Learning is used to forecast cash demands for each of the branches, taking into account past demands and calendar effects. These demand predictions are forwarded to a Robust Optimization model, whose outputs are the cash transports that each branch should request. These transports guarantee that demand is fulfilled up to the desired confidence level, while also satisfying additional constraints arising in this particular domain.",Lopez Lazaro J.,2018-02-01,Improving cash logistics in bank branches by coupling machine learning and robust optimization
SCOPUS_ID:85034661580,"The uncertainty analysis and modeling of wind speed, which has an essential influence on wind power systems, is consistently considered a challenging task. However, most investigations thus far were focused mainly on point forecasts, which in reality cannot facilitate quantitative characterization of the endogenous uncertainty involved. An analysis-forecast system that includes an analysis module and a forecast module and can provide appropriate scenarios for the dispatching and scheduling of a power system is devised in this study; this system superior to those presented in previous studies. In order to qualitatively and quantitatively investigate the uncertainty of wind speed, recurrence analysis techniques are effectively developed for application in the analysis module. Furthermore, in order to quantify the uncertainty accurately, a novel architecture aimed at uncertainty mining is devised for the forecast module, where a non-parametric model optimized by an improved multi-objective water cycle algorithm is considered a predictor for producing intervals for each mode component after feature selection. The results of extensive in-depth experiments show that the devised system is not only superior to the considered benchmark models, but also has good potential practical applications in wind power systems.",Wang J.,2018-02-01,An analysis-forecast system for uncertainty modeling of wind speed: A case study of large-scale wind farms
SCOPUS_ID:85030764780,"Big data applications usually need to rent a large number of virtual machines from Cloud computing providers. As a result of the policies employed by Cloud providers, the prices of spot virtual machine instances behavior stochastically. Spot prices (prices of spot instances) fluctuate greatly or have multiple regimes. Choosing virtual machines according to trends in prices is helpful in decreasing the resource rental cost. Existing price prediction methods are unable to accurately predict prices in these environments. As a result, a dynamic-ARIMA and two markov regime-switching autoregressive model based forecasting methods have been developed in this paper. Experimental results show that the proposals are better than the existing MonthAR in most scenarios.",Cai Z.,2018-02-01,Price forecasting for spot instances in Cloud computing
SCOPUS_ID:85037983717,"Energy consumption for hot water production is a major draw in high efficiency buildings. Optimizing this has typically been approached from a thermodynamics perspective, decoupled from occupant influence. Furthermore, optimization usually presupposes existence of a detailed dynamics model for the hot water system. These assumptions lead to suboptimal energy efficiency in the real world. In this paper, we present a novel reinforcement learning based methodology which optimizes hot water production. The proposed methodology is completely generalizable, and does not require an offline step or human domain knowledge to build a model for the hot water vessel or the heating element. Occupant preferences too are learnt on the fly. The proposed system is applied to a set of 32 houses in the Netherlands where it reduces energy consumption for hot water production by roughly 20% with no loss of occupant comfort. Extrapolating, this translates to absolute savings of roughly 200 kWh for a single household on an annual basis. This performance can be replicated to any domestic hot water system and optimization objective, given that the fairly minimal requirements on sensor data are met. With millions of hot water systems operational worldwide, the proposed framework has the potential to reduce energy consumption in existing and new systems on a multi Gigawatt-hour scale in the years to come.",Kazmi H.,2018-02-01,Gigawatt-hour scale savings on a budget of zero: Deep reinforcement learning based optimal control of hot water systems
SCOPUS_ID:85037057898,(not available),Huang S.,2018-02-01,A Bayesian Network model for predicting cooling load of commercial buildings
SCOPUS_ID:85038860726,"In the last decades, the world's energy consumption has increased rapidly due to fundamental changes in the industry and economy. In such terms, accurate demand forecasts are imperative for decision makers to develop an optimal strategy that includes not only risk reduction, but also the betterment of the economy and society as a whole. This paper expands the fields of application of combined Bootstrap aggregating (Bagging) and forecasting methods to the electric energy sector, a novelty in literature, in order to obtain more accurate demand forecasts. A comparative out-of-sample analysis is conducted using monthly electric energy consumption time series from different countries. The results show that the proposed methodologies substantially improve the forecast accuracy of the demand for energy end-use services in both developed and developing countries. Findings and policy implications are further discussed.",de Oliveira E.M.,2018-02-01,Forecasting mid-long term electric energy consumption through bagging ARIMA and exponential smoothing methods
SCOPUS_ID:85037716726,"The past quarter century has witnessed development of advanced modeling approaches, such as stochastic and agent-based modeling, to sustainably manage water systems in the presence of deep uncertainty and complexity. However, all too often data inputs for these powerful models are sparse and outdated, yielding unreliable results. Advancements in sensor and communication technologies have allowed for the ubiquitous deployment of sensors in water resources systems and beyond, providing high-frequency data. Processing the large amount of heterogeneous data collected is non-trivial and exceeds the capacity of traditional data warehousing and processing approaches. In the past decade, significant advances have been made in the storage, distribution, querying, and analysis of big data. Many tools have been developed by computer and data scientists to facilitate the manipulation of large datasets and create pipelines to transmit the data from data warehouses to computational analytic tools. A generic framework is presented to complete the data cycle for a water system. The data cycle presents an approach for integrating high-frequency data into existing water-related models and analyses, while highlighting some of the more helpful data management tools. The data tools are helpful to make sustainable decisions, which satisfy the objectives of a society. Data analytics distribution tool Spark is introduced through the illustrative application of coupling high-frequency demand metering data with a water distribution model. By updating the model in near real-time, the analysis is more accurate and can expose serious misinterpretations.",Shafiee M.E.,2018-02-01,Enhancing water system models by integrating big data
SCOPUS_ID:85036461446,"Motivated by the increasing integration among electricity markets, in this paper we propose two different methods to incorporate market integration in electricity price forecasting and to improve the predictive performance. First, we propose a deep neural network that considers features from connected markets to improve the predictive accuracy in a local market. To measure the importance of these features, we propose a novel feature selection algorithm that, by using Bayesian optimization and functional analysis of variance, evaluates the effect of the features on the algorithm performance. In addition, using market integration, we propose a second model that, by simultaneously predicting prices from two markets, improves the forecasting accuracy even further. As a case study, we consider the electricity market in Belgium and the improvements in forecasting accuracy when using various French electricity features. We show that the two proposed models lead to improvements that are statistically significant. Particularly, due to market integration, the predictive accuracy is improved from 15.7% to 12.5% sMAPE (symmetric mean absolute percentage error). In addition, we show that the proposed feature selection algorithm is able to perform a correct assessment, i.e. to discard the irrelevant features.",Lago J.,2018-02-01,Forecasting day-ahead electricity prices in Europe: The importance of considering market integration
SCOPUS_ID:85031110924,"Wind speed forecasting plays a prominent part in the operation of wind power plants and power systems. However, it is often difficult to obtain satisfactory prediction results because wind speed data comprise random nonlinear series. Current some statistical models are not proficient in predicting nonlinear time series, whereas artificial intelligence models often fall into local optima. For these reasons, a novel combined forecasting model, which combines hybrid models based on decomposed methods and optimization algorithms, is successfully developed with variable weighting combination theory for multi-step wind speed forecasting. In this model, three different hybrid models are proposed and to further improve the forecasting performance, a modified support vector regression is used to integrate all the results obtained by each hybrid model and obtain the final forecasting results. To verify the forecasting effectiveness of the proposed forecasting model, 10-min wind speed series from Penglai, China, are used as case studies. The experimental results indicate that the developed combined model not only outperforms other benchmark models but also can be satisfactorily used for planning for smart grids.",Li H.,2018-02-01,Research and application of a combined model based on variable weight for short term wind speed forecasting
SCOPUS_ID:85037040177,"Irradiance received on the earth’s surface is the main factor that affects the output power of solar PV plants, and is chiefly determined by the cloud distribution seen in a ground-based sky image at the corresponding moment in time. It is the foundation for those linear extrapolation-based ultra-short-term solar PV power forecasting approaches to obtain the cloud distribution in future sky images from the accurate calculation of cloud motion displacement vectors (CMDVs) by using historical sky images. Theoretically, the CMDV can be obtained from the coordinate of the peak pulse calculated from a Fourier phase correlation theory (FPCT) method through the frequency domain information of sky images. The peak pulse is significant and unique only when the cloud deformation between two consecutive sky images is slight enough, which is likely possible for a very short time interval (such as 1 min or shorter) with common changes in the speed of cloud. Sometimes, there will be more than one pulse with similar values when the deformation of the clouds between two consecutive sky images is comparatively obvious under fast changing cloud speeds. This would probably lead to significant errors if the CMDVs were still only obtained from the single coordinate of the peak value pulse. However, the deformation estimation of clouds between two images and its influence on FPCT-based CMDV calculations are terrifically complex and difficult because the motion of clouds is complicated to describe and model. Therefore, to improve the accuracy and reliability under these circumstances in a simple manner, an image-phase-shift-invariance (IPSI) based CMDV calculation method using FPCT is proposed for minute time scale solar power forecasting. First, multiple different CMDVs are calculated from the corresponding consecutive images pairs obtained through different synchronous rotation angles compared to the original images by using the FPCT method. Second, the final CMDV is generated from all of the calculated CMDVs through a centroid iteration strategy based on its density and distance distribution. Third, the influence of different rotation angle resolution on the final CMDV is analyzed as a means of parameter estimation. Simulations under various scenarios including both thick and thin clouds conditions indicated that the proposed IPSI-based CMDV calculation method using FPCT is more accurate and reliable than the original FPCT method, optimal flow (OF) method, and particle image velocimetry (PIV) method.",Wang F.,2018-02-01,Image phase shift invariance based cloud motion displacement vector calculation method for ultra-short-term solar PV power forecasting
SCOPUS_ID:85030686265,"Buildings are an essential part of our social life. People spend a substantial fraction of their time and spend a high amount of energy in them. There is a grand variety of systems and services related to buildings, in order to better control and monitoring. The prompt taking of decisions may prevent costs and contamination. This paper proposes a method for energy consumption forecasting in public buildings, and thus, achieve energy savings, in order to improve the energy efficiency, without affecting the comfort and wellness. The prediction of the energy consumption is indispensable for the intelligent systems operations and planning. We propose an Elman neural network for forecasting such consumption and we use a genetic algorithm to optimize the weight of the models. This paper concludes that the proposed method optimizes the energy consumption forecasting and improves results attained in previous studies.",Ruiz L.G.B.,2018-02-01,Energy consumption forecasting based on Elman neural networks with evolutive optimization
SCOPUS_ID:85038368256,,Markovska N.,2018-02-01,"Shedding light on energy transition: Special issue dedicated to 2016 conferences on sustainable development of energy, water and environment systems"
SCOPUS_ID:85029185636,"Energy usage and demand forecasting is an essential and complex task in real time implementation. Proper coordination is required between the consumer and power companies for monitoring, scheduling and operating the electrical devices without any damages. In this paper, we propose a novel neural network based optimization approach for energy demand prediction. Initially, the Conventional Neural Network (CNN) approach is employed to find the required energy demand prediction at the consumer end. Secondly, Neural Network based Genetic Algorithm (NNGA) and Neural Network based Particle Swarm Optimization (NNPSO) approaches are implemented where the weights of the neural network are automatically adjusted. Closer observation from the result reveals that the proposed NNGA approach performs better for short term load forecasting and proposed NNPSO is more suitable for the long term energy prediction. For the experimental results, real time data are taken from pecan street (Pecan Street Inc.). From the simulations, it can be concluded that the proposed optimization approach algorithm yield better results than the CNN approach in predicting the future energy demand. Further, the result reveals that it is possible to manage the demand and supply, planning of power grid and prediction of future energy requirement in the smart grid.",Muralitharan K.,2018-01-17,Neural network based optimization approach for energy demand prediction in smart grid
SCOPUS_ID:85024393557,"Electric Energy Storage Systems (EESS) have received an increased attention in recent years due to their important role in an active management of energy supply systems. Fueled by the increasing shares of intermittent Renewable Energy Sources (RES) in today's energy supply, balancing energy demand and energy supply over time becomes more and more challenging. EESS are recognized as a key technology to overcome this challenge by storing energy and converting it back when needed. Even though some EESS solutions are already available on the market, EESS suffer from technical limitations and entail high investment costs. Energy management is responsible for managing the operations of EESS and the interactions with the surrounding systems. An optimal energy management is an important precondition to ensure economic viability of EESS.
                  This paper presents a systematic review of the literature on energy management for stationary EESS applications. The aim of the paper is to give a comprehensive overview of the literature in this field and to develop a conceptual framework that facilitates the structuring of research on the management of EESS and the identification of future research opportunities. The paper first introduces the methodology used for the literature review and then descriptively analyzes the identified publications. Afterwards, it outlines the proposed conceptual framework that provides a structure for categorizing the identified literature. Subsequently, we discuss the identified papers in light of the proposed framework. The paper then concludes with a discussion of future research opportunities.",Weitzel T.,2018-01-16,Energy management for stationary electric energy storage systems: A systematic literature review
SCOPUS_ID:85032939165,"Broadly speaking, building energy use prediction can be classified into two categories based on modeling approaches namely engineering and Artificial Intelligence (AI). While engineering approach requires solving physical equations representing the thermal performance of systems and components that constitute the buildings, the AI-based approach uses historical data to predict future performance. Although engineering approach estimates energy use with greater accuracy, it falls short in the overall complexity of model building and simulation in which detailed data that represent the building geometry, systems, configurations, and occupant schedule is needed. Whereas, the AI-based approach offers a rapid prediction of building energy use and, if appropriately trained and tested, may be used for quick and efficient decision-making of energy use reduction. Nevertheless, for robust integration with and to improve automated building systems management and intelligence, the need for consistent, stable, and higher prediction accuracy cannot be understated. To alleviate the instability issue, and to improve prediction accuracy, we have exploited and tested an ensemble learning technique, ‘Ensemble Bagging Trees’ (EBT), using data obtained from meteorological systems and building-level occupancy and meters.Results showed that the proposed EBT model predicted hourly electricity demand of the test building with improved accuracy of Mean Absolute Prediction Error that ranged from 2.97% to 4.63%. Additionally, results showed that proposed variable selection method could reduce the computation time of EBT by 38–41% without sacrificing the prediction accuracy. The proposed ensemble learning model that exemplifies improved prediction accuracy over other AI techniques can be used for real-time applications such as system fault detection and diagnosis.",Wang Z.,2018-01-15,A novel ensemble learning approach to support building energy use prediction
SCOPUS_ID:85034598751,"Accurately predicting energy usage in buildings is of great importance in various efforts on improving building energy efficiencies such as fault detection and diagnostics, building-grid interactions, and building commissioning. Data-driven approach and first-principle approach are two commonly used methods in developing models for predicting building energy use. In this paper, several data-driven methods including multiple linear regression, adaptive linear filter algorithms (least mean square (LMS), normalized least mean square (nLMS), and recursive least square (RLS)), and Gaussian mixture model regression (GMMR) are employed to predict hourly energy usages in two buildings. One building is a synthetic large-size office building from DOE reference building models. The hourly building energy consumption was predicted using the energy simulation model for one year under Chicago climate. The other building is an existing office building located in Des Moines, Iowa. The actual hourly building energy consumption of the existing building was obtained through building submeters. The accuracies of these data-driven models for predicting energy usages of the two buildings are compared. The GMMR models outperform the adaptive filter methods in this study. Both the GMMR and adaptive filter methods meet the model calibration criteria defined by the ASHRAE Guideline 14.",Wang L.,2018-01-15,Adaptive learning based data-driven models for predicting hourly building energy use
SCOPUS_ID:85033379009,"At present, the high-energy consumption of heating, ventilating, and air conditioning (HVAC) systems, which is caused by inefficient operation, is a matter of great concern. An accurate prediction of building load can help improve the operational efficiency of HVAC systems. In this work, the short-term heating load and ultra-short-term heating load prediction models are established with the purpose of predicting the heating load 24h ahead and 1h ahead, respectively. The short-term heating load prediction model can help management staff of buildings obtain hourly heating demand in advance and optimally arrange the operation of HVAC systems. The ultra-short-term heating load prediction model can be used for the prediction of a large load fluctuation, which may occur, and for the improvement of the operational safety of HVAC systems. Wavelet decomposition and reconstruction (WD), correlation analysis (CA), and principal component analysis (PCA) are employed to obtain reasonable model inputs, and two machine learning methods, namely the multilayer layer perceptron neural network (MLP) and the support vector regression (SVR), are used to establish the prediction models. The mean relative error (MRE) of the short-term heating load and ultra-short-term heating load prediction models reach 10.7% and 6.0%, respectively. The importance of the interior and exterior variables that influenced the building heating load is compared and the conclusion is that the building heating load is mainly influenced by exterior variables; however, the addition of the interior variables may help obtain more accurate heating load prediction models.",Ding Y.,2018-01-15,Model input selection for building heating load prediction: A case study for an office building in Tianjin
SCOPUS_ID:85035312215,"Wind energy is attracting more attention with the growing demand for energy. However, the efficient development and utilization of wind energy are restricted due to the intermittency and randomness of wind speed. Although abundant investigations concerning wind speed forecasting have been conducted by numerous researchers, most of the studies merely attach importance to point forecasts, which cannot quantitatively characterize the uncertainties as developing intervals. In this study, a novel interval prediction architecture has been designed, aiming at constructing effective prediction intervals for a wind speed series, composed of a preprocessing module, a feature selection module, an optimization module, a forecast module and an evaluation module. The feature selection module, in cooperation with the preprocessing module, is developed to determine the optimal model input. Furthermore, the forecast module optimized by the optimization module is considered a predictor for giving prediction intervals. The experimental results shed light on the architecture that not only outperforms the benchmark models considered, but also has great potential for application to wind power systems.",Niu T.,2018-01-15,Uncertainty modeling for chaotic time series based on optimal multi-input multi-output architecture: Application to offshore wind speed
SCOPUS_ID:85035116145,"Solar photovoltaic plants are widely integrated into most countries worldwide. Due to the ever-growing utilization of solar photovoltaic plants, either via grid-connection or stand-alone networks, dramatic changes can be anticipated in both power system planning and operating stages. Solar photovoltaic integration requires the capability of handling the uncertainty and fluctuations of power output. In this case, solar photovoltaic power forecasting is a crucial aspect to ensure optimum planning and modelling of the solar photovoltaic plants. Accurate forecasting provides the grid operators and power system designers with significant information to design an optimal solar photovoltaic plant as well as managing the power of demand and supply. This paper presents an extensive review on recent advancements in the field of solar photovoltaic power forecasting. This paper aims to analyze and compare various methods of solar photovoltaic power forecasting in terms of characteristics and performance. This work classifies solar photovoltaic power forecasting methods into three major categories i.e., time-series statistical methods, physical methods, and ensemble methods. To date, Artificial Intelligence approaches are widely used due to their capability in solving the non-linear and complex structure of data. The performance analysis shows that these methods outperform the traditional methods. Recently, the ensemble methods were also developed by researchers to extract the unique features of single models to enhance the forecast model performances. This combination produces accurate results compared to individual models. This paper also elaborates on the metrics assessment which was implemented to evaluate the forecast model performances. This work provides information which is beneficial for researchers and engineers who are involved in the modelling and planning of the solar photovoltaic plant.",Sobri S.,2018-01-15,Solar photovoltaic generation forecasting methods: A review
